docid,htid,tokens,tags,author,authordate,imprint,inferreddate,firstpub,enumcron,subjects,genres,title,tagset
nyp.33433074941562_1,nyp.33433074941562,33889,detective,"Chambers, Robert W",1865.0,New York;D,1906,1906,,,,The tracer of lost person,{'detective'}
mdp.39076002720709,mdp.39076002720709,41091,detective,"Chapman, Allen",,New York;C,1900,1900,,Orphans;De,,"Boys of Spring Hill, or, ",{'detective'}
uc1.32106001930137_1,uc1.32106001930137,49635,detective,"Chesterton, G. K",1874.0,New York;J,1911,1911,,Clergy;Cat,,The innocence of Father B,{'detective'}
uc1.32106001930137_0,uc1.32106001930137,47445,detective,"Chesterton, G. K",1874.0,New York;J,1911,1911,,Clergy;Cat,,The innocence of Father B,{'detective'}
nyp.33433074970710_0,nyp.33433074970710,35616,detective,"Christie, Agatha",1890.0,London;New,1920,1920,,,,The mysterious affair at ,{'detective'}
nyp.33433074970710_1,nyp.33433074970710,36939,detective,"Christie, Agatha",1890.0,London;New,1920,1920,,,,The mysterious affair at ,{'detective'}
inu.30000007708815_0,inu.30000007708815,77258,detective,"Collins, Wilkie",1824.0,New York;H,1868,1868,,,,The moonstone,{'detective'}
inu.30000007708815_1,inu.30000007708815,80125,detective,"Collins, Wilkie",1824.0,New York;H,1868,1868,,,,The moonstone,{'detective'}
inu.30000007708815_2,inu.30000007708815,80898,detective,"Collins, Wilkie",1824.0,New York;H,1868,1868,,,,The moonstone,{'detective'}
nyp.33433074954748_0,nyp.33433074954748,107624,detective,"Dickens, Charles",1812.0,London;A. ,1904,1853,,,,Bleak house,{'detective'}
nyp.33433074954748_1,nyp.33433074954748,106030,detective,"Dickens, Charles",1812.0,London;A. ,1904,1853,,,,Bleak house,{'detective'}
nyp.33433074954748_3,nyp.33433074954748,107132,detective,"Dickens, Charles",1812.0,London;A. ,1904,1853,,,,Bleak house,{'detective'}
nyp.33433074954748_2,nyp.33433074954748,106113,detective,"Dickens, Charles",1812.0,London;A. ,1904,1853,,,,Bleak house,{'detective'}
nyp.33433074968417,nyp.33433074968417,44078,detective,"Dougherty, Harry V",1873.0,Boston;Ric,1922,1922,,Detective ,,Well-- who killed him?,{'detective'}
inu.30000007703436_1,inu.30000007703436,51146,detective,"Doyle, Arthur Conan",1859.0,New York;A,1922,1894,,Private in,,Memoirs of Sherlock Holme,{'detective'}
mdp.39015049217741_0,mdp.39015049217741,60487,detective,"Doyle, Arthur Conan",1859.0,New York;H,1892,1892,,,,Adventures of Sherlock Ho,{'detective'}
uc2.ark+=13960=t45q4tp5h_0,uc2.ark+=13960=t45q4tp5h,69031,detective,"Doyle, Arthur Conan",1859.0,New York;M,1905,1903,,Private in,,The return of Sherlock Ho,{'detective'}
inu.30000007703436_0,inu.30000007703436,53909,detective,"Doyle, Arthur Conan",1859.0,New York;A,1922,1894,,Private in,,Memoirs of Sherlock Holme,{'detective'}
uc1.b4107807_1,uc1.b4107807,65364,detective,"Doyle, Arthur Conan",1859.0,New York;P,1914,1887,(copy 1),,,A study in scarlet,{'detective'}
mdp.39015049217741_1,mdp.39015049217741,66654,detective,"Doyle, Arthur Conan",1859.0,New York;H,1892,1892,,,,Adventures of Sherlock Ho,{'detective'}
nyp.33433074968045_0,nyp.33433074968045,40464,detective,"Doyle, Arthur Conan",1859.0,New York;G,1917,1917,,Private in,,His last bow,{'detective'}
nyp.33433074968045_1,nyp.33433074968045,41740,detective,"Doyle, Arthur Conan",1859.0,New York;G,1917,1917,,Private in,,His last bow,{'detective'}
uc2.ark+=13960=t45q4tp5h_1,uc2.ark+=13960=t45q4tp5h,66609,detective,"Doyle, Arthur Conan",1859.0,New York;M,1905,1903,,Private in,,The return of Sherlock Ho,{'detective'}
uc1.b4107807_0,uc1.b4107807,58026,detective,"Doyle, Arthur Conan",1859.0,New York;P,1914,1887,(copy 1),,,A study in scarlet,{'detective'}
nyp.33433075818801_1,nyp.33433075818801,67077,detective,"Du Boisgobey, Fortuné",1821.0,Philadelph,1876,1875,,French fic,,The golden tress,{'detective'}
nyp.33433075818801_0,nyp.33433075818801,66328,detective,"Du Boisgobey, Fortuné",1821.0,Philadelph,1876,1875,,French fic,,The golden tress,{'detective'}
uc1.b318291_0,uc1.b318291,31035,detective,"Du Boisgobey, Fortuné",1821.0,London;Viz,1887,1883,,,,The detective's eye ;,{'detective'}
uc1.b318291_1,uc1.b318291,32158,detective,"Du Boisgobey, Fortuné",1821.0,London;Viz,1887,1883,,,,The detective's eye ;,{'detective'}
wu.89004395398_0,wu.89004395398,46717,detective,"Futrelle, Jacques",1875.0,London;Cha,1907,1907,,,,The thinking machine,{'detective'}
wu.89004395398_1,wu.89004395398,49012,detective,"Futrelle, Jacques",1875.0,London;Cha,1907,1907,,,,The thinking machine,{'detective'}
uc1.32106006960592_0,uc1.32106006960592,50846,detective,"Gaboriau, Emile",1832.0,New York;S,1905,1866,,,,The widow Lerouge,{'detective'}
uc1.32106006960592_2,uc1.32106006960592,48937,detective,"Gaboriau, Emile",1832.0,New York;S,1905,1866,,,,The widow Lerouge,{'detective'}
mdp.39015030307881_0,mdp.39015030307881,62006,detective,"Gaboriau, Emile",1832.0,Boston;Lit,1899,1867,,,,File no. 113,{'detective'}
mdp.39015030307881_1,mdp.39015030307881,62344,detective,"Gaboriau, Emile",1832.0,Boston;Lit,1899,1867,,,,File no. 113,{'detective'}
mdp.39015030307881_2,mdp.39015030307881,61767,detective,"Gaboriau, Emile",1832.0,Boston;Lit,1899,1867,,,,File no. 113,{'detective'}
nyp.33433075833354_0,nyp.33433075833354,63585,detective,"Gaboriau, Emile",1832.0,New York;C,1906,1867,,,,The mystery of Orcival,{'detective'}
nyp.33433075833354_1,nyp.33433075833354,65337,detective,"Gaboriau, Emile",1832.0,New York;C,1906,1867,,,,The mystery of Orcival,{'detective'}
uc1.32106006960592_1,uc1.32106006960592,51062,detective,"Gaboriau, Emile",1832.0,New York;S,1905,1866,,,,The widow Lerouge,{'detective'}
uc2.ark+=13960=t4cn73z09,uc2.ark+=13960=t4cn73z09,49889,detective,"Gibbon, Charles",1843.0,London;Sam,1888,1888,v.2,Fiction;De,,Beyond compare,{'detective'}
uc2.ark+=13960=t2h70dt42,uc2.ark+=13960=t2h70dt42,49567,detective,"Gibbon, Charles",1843.0,London;Sam,1888,1888,v.1,Fiction;De,,Beyond compare,{'detective'}
uc2.ark+=13960=t0cv4hf87_1,uc2.ark+=13960=t0cv4hf87,34710,detective,"Gibbon, Charles",1843.0,London;Sam,1888,1888,v.3,Fiction;De,,Beyond compare,{'detective'}
uc2.ark+=13960=t0cv4hf87_0,uc2.ark+=13960=t0cv4hf87,26179,detective,"Gibbon, Charles",1843.0,London;Sam,1888,1888,v.3,Fiction;De,,Beyond compare,{'detective'}
uva.x001307832_2,uva.x001307832,46400,detective,"Green, Anna Katharine",1846.0,New York;G,1906,1888,,,,Behind closed doors,{'detective'}
uc1.b4104310_1,uc1.b4104310,53943,detective,"Green, Anna Katharine",1846.0,New York;L,1899,1899,,,,Agatha Webb,{'detective'}
uva.x001307832_1,uva.x001307832,48153,detective,"Green, Anna Katharine",1846.0,New York;G,1906,1888,,,,Behind closed doors,{'detective'}
uc1.b4104310_0,uc1.b4104310,50519,detective,"Green, Anna Katharine",1846.0,New York;L,1899,1899,,,,Agatha Webb,{'detective'}
uva.x001307832_0,uva.x001307832,46395,detective,"Green, Anna Katharine",1846.0,New York;G,1906,1888,,,,Behind closed doors,{'detective'}
mdp.39015035566440_1,mdp.39015035566440,69113,detective,"Green, Anna Katharine",1846.0,New York;A,1906,1878,,,,The Leavenworth case,{'detective'}
uc2.ark+=13960=t3222sk2s_0,uc2.ark+=13960=t3222sk2s,59102,detective,"Green, Anna Katharine",1846.0,New York;A,1913,1913,,,,"Room number 3, and other ",{'detective'}
mdp.39015035566440_0,mdp.39015035566440,65382,detective,"Green, Anna Katharine",1846.0,New York;A,1906,1878,,,,The Leavenworth case,{'detective'}
uc2.ark+=13960=t3222sk2s_1,uc2.ark+=13960=t3222sk2s,61061,detective,"Green, Anna Katharine",1846.0,New York;A,1913,1913,,,,"Room number 3, and other ",{'detective'}
uc2.ark+=13960=t1gh9jr4d_0,uc2.ark+=13960=t1gh9jr4d,40661,detective,"Haggard, H. Rider",1856.0,London;Spe,1888,1888,,,,Mr. Meeson's will,{'detective'}
uc2.ark+=13960=t1gh9jr4d_1,uc2.ark+=13960=t1gh9jr4d,42693,detective,"Haggard, H. Rider",1856.0,London;Spe,1888,1888,,,,Mr. Meeson's will,{'detective'}
nyp.33433074870266_0,nyp.33433074870266,55276,detective,"Hamel, Felix John",,London;Sim,1859,1859,,Criminals;,,"Harry Roughton, or, Remin",{'detective'}
nyp.33433074870266_1,nyp.33433074870266,59924,detective,"Hamel, Felix John",,London;Sim,1859,1859,,Criminals;,,"Harry Roughton, or, Remin",{'detective'}
uc2.ark+=13960=t0pr7n71q_0,uc2.ark+=13960=t0pr7n71q,48274,detective,"Hawthorne, Julian",1846.0,New York;T,1909,1909,v.9,,,The lock and key library:,{'detective'}
uc2.ark+=13960=t0pr7n71q_1,uc2.ark+=13960=t0pr7n71q,49846,detective,"Hawthorne, Julian",1846.0,New York;T,1909,1909,v.9,,,The lock and key library:,{'detective'}
uc2.ark+=13960=t0pr7n71q_2,uc2.ark+=13960=t0pr7n71q,50929,detective,"Hawthorne, Julian",1846.0,New York;T,1909,1909,v.9,,,The lock and key library:,{'detective'}
nyp.33433074876388_1,nyp.33433074876388,32252,detective,"Hornung, E. W",1866.0,New York;C,1899,1899,,English fi,,The amateur cracksman,{'detective'}
nyp.33433074876388_0,nyp.33433074876388,33066,detective,"Hornung, E. W",1866.0,New York;C,1899,1899,,English fi,,The amateur cracksman,{'detective'}
njp.32101063580268_1,njp.32101063580268,58506,detective,"Hume, Fergus",1859.0,London;Jar,1900,1886,,,,The mystery of a hansom c,{'detective'}
njp.32101063580268_0,njp.32101063580268,56727,detective,"Hume, Fergus",1859.0,London;Jar,1900,1886,,,,The mystery of a hansom c,{'detective'}
njp.32101067344661_0,njp.32101067344661,65076,detective,"Le Fanu, Joseph Sheridan",1814.0,Philadelph,1871,1871,,Irish fict,,Checkmate,{'detective'}
njp.32101067344661_2,njp.32101067344661,63294,detective,"Le Fanu, Joseph Sheridan",1814.0,Philadelph,1871,1871,,Irish fict,,Checkmate,{'detective'}
njp.32101067344661_1,njp.32101067344661,67817,detective,"Le Fanu, Joseph Sheridan",1814.0,Philadelph,1871,1871,,Irish fict,,Checkmate,{'detective'}
uva.x000429691_1,uva.x000429691,42132,detective,"Leblanc, Maurice",1864.0,New York;W,1913,1913,,,,The confessions of Arsène,{'detective'}
uva.x000429691_0,uva.x000429691,43649,detective,"Leblanc, Maurice",1864.0,New York;W,1913,1913,,,,The confessions of Arsène,{'detective'}
uva.x001752097_1,uva.x001752097,45237,detective,"Leroux, Gaston",1868.0,New York;G,1910,1910,,,,The mystery of the yellow,{'detective'}
uva.x001752097_0,uva.x001752097,45946,detective,"Leroux, Gaston",1868.0,New York;G,1910,1910,,,,The mystery of the yellow,{'detective'}
uc2.ark+=13960=t5n874v29_0,uc2.ark+=13960=t5n874v29,45473,detective,"Lynch, Lawrence L",1853.0,Chicago;A.,1886,1885,,,,"Dangerous ground, or, The",{'detective'}
uc2.ark+=13960=t5n874v29_1,uc2.ark+=13960=t5n874v29,48264,detective,"Lynch, Lawrence L",1853.0,Chicago;A.,1886,1885,,,,"Dangerous ground, or, The",{'detective'}
uc1.32106007514398,uc1.32106007514398,53463,fantasy_oclc|juv,"Andersen, H. C. (Hans Christian)",1805-1875.,"Harmondsworth, Middlesex|Penguin Books|1981.",1981,1844,,Fairy tales|Denmark,NotFiction,Hans Andersen's fairy tales,"{'juv', 'fantasy_oclc'}"
uc1.l0063361513,uc1.l0063361513,36236,fantasy_oclc,"Bangs, John Kendrick",,"New York;London;Harper & brothers;1900, c1899.",1899,1899,,,,The enchanted typewriter,{'fantasy_oclc'}
nyp.33433074800883,nyp.33433074800883,36043,supernat,"Bangs, John Kendrick",,New York;Harper & brothers;1896.,1896,1896,,,,A house-boat on the Styx;,{'supernat'}
mdp.39015030856978,mdp.39015030856978,35238,supernat,"Bangs, John Kendrick",,New York;London;Harper & brothers;1899.,1899,1899,,,,The enchanted typewriter,{'supernat'}
nyp.33433070255546_0,nyp.33433070255546,31392,supernat,"Barker, Elsa",,New York;Mitchell Kennerley;1914.,1914,1914,,Spiritualism,,Letters from a living dead man,{'supernat'}
nyp.33433070255546_1,nyp.33433070255546,31231,supernat,"Barker, Elsa",,New York;Mitchell Kennerley;1914.,1914,1914,,Spiritualism,,Letters from a living dead man,{'supernat'}
mdp.39015001799165,mdp.39015001799165,58045,fantasy_oclc|juv,"Barrie, J. M",1860-1937.,New York|Scribner|1950.,1950,1911,,,Fiction,Peter Pan; | $c: illustrated by Nora S. Unwin.,"{'juv', 'fantasy_oclc'}"
pst.000060921147,pst.000060921147,18423,fantasy_loc,"Barrie, J. M",1860-1937.,"Gloucester, UK|Dodo Press|2006",2006,1906,,"Fantasy fiction, English|Peter Pan (Fictitious character)|Fiction",Short stories,Peter Pan in Kensington Gardens,{'fantasy_loc'}
mdp.39015085432923_1,mdp.39015085432923,38901,supernat|juv|fantasy_loc,"Barrie, J. M",,"Toronto;Copp, Clark Company, Ltd.;MDCCCCII [1902",1902,1902,,"Kensington Gardens (London, England);Fantasy;Juvenile fiction;Children's literature, English",,"The little white bird; or, Adventures in Kensington Gardens","{'fantasy_loc', 'supernat', 'juv'}"
mdp.39015085432923_0,mdp.39015085432923,38127,supernat|juv|fantasy_loc,"Barrie, J. M",,"Toronto;Copp, Clark Company, Ltd.;MDCCCCII [1902",1902,1902,,"Kensington Gardens (London, England);Fantasy;Juvenile fiction;Children's literature, English",,"The little white bird; or, Adventures in Kensington Gardens","{'fantasy_loc', 'supernat', 'juv'}"
nc01.ark+=13960=t8v995442,nc01.ark+=13960=t8v995442,35226,juv|fantasy_loc,"Baum, L. Frank",,Indianapolis;The Bowen-Merrill Co.;1902.,1902,1902,,Santa Claus;Christmas stories;Fantasy;Fairies;Juvenile fiction,,The life and adventures of Santa Claus,"{'fantasy_loc', 'juv'}"
pst.000055159890,pst.000055159890,47300,fantasy_oclc|juv,"Baum, L. Frank",1856-1919.,New York|Scholastic Book Services|1958].,1958,1900,,,NotFiction,The Wizard of Oz,"{'juv', 'fantasy_oclc'}"
uva.x000835612_0,uva.x000835612,36639,juv|fantasy_loc,"Baum, L. Frank",,Chicago;Reilly & Lee Co.;c1913,1913,1913,,Fantasy,,The patchwork girl of Oz,"{'fantasy_loc', 'juv'}"
uva.x000835612_1,uva.x000835612,35880,juv|fantasy_loc,"Baum, L. Frank",,Chicago;Reilly & Lee Co.;c1913,1913,1913,,Fantasy,,The patchwork girl of Oz,"{'fantasy_loc', 'juv'}"
uc2.ark+=13960=t26970r57,uc2.ark+=13960=t26970r57,57638,fantasy_oclc|juv|fantasy_loc,"Baum, L. Frank",,Chicago;Reilly & Britton;c1906,1906,1906,,,,John Dough and the cherub,"{'fantasy_loc', 'juv', 'fantasy_oclc'}"
nyp.33433074939723_0,nyp.33433074939723,38584,fantasy_loc,"Besant, Walter",,New York;Harper;1888.,1888,1888,,"Fantasy fiction, English",,The inner house,{'fantasy_loc'}
nyp.33433074939723_1,nyp.33433074939723,38497,fantasy_loc,"Besant, Walter",,New York;Harper;1888.,1888,1888,,"Fantasy fiction, English",,The inner house,{'fantasy_loc'}
pst.000016155800,pst.000016155800,4703,fantasy_oclc|juv,"Bianco, Margery Williams",1881-1944,New York|Doubleday|1991?].,1991,1922,,Fiction|Toys,NotFiction,"The velveteen rabbit, or, How toys become real","{'juv', 'fantasy_oclc'}"
uva.x000885514_0,uva.x000885514,39880,fantasy_oclc|sf_bailey,"Bierce, Ambrose",,Washington;The Neale Publishing Company;1903.,1903,1893,,,,Can such things be?,"{'fantasy_oclc', 'sf_bailey'}"
uva.x000885514_1,uva.x000885514,37492,fantasy_oclc|sf_bailey,"Bierce, Ambrose",,Washington;The Neale Publishing Company;1903.,1903,1893,,,,Can such things be?,"{'fantasy_oclc', 'sf_bailey'}"
nyp.33433074939996_0,nyp.33433074939996,35930,fantasy_oclc,"Biss, Gerald",,New York;Putnam;1920.,1920,1920,,Werewolves;Fiction,,The door of the unreal,{'fantasy_oclc'}
nyp.33433074939996_1,nyp.33433074939996,36057,fantasy_oclc,"Biss, Gerald",,New York;Putnam;1920.,1920,1920,,Werewolves;Fiction,,The door of the unreal,{'fantasy_oclc'}
njp.32101066164813_2,njp.32101066164813,48187,fantasy_oclc,"Blackwood, Algernon",,London;Macmillan;1919.,1919,1919,,,,Pan's garden;,{'fantasy_oclc'}
njp.32101066164813_0,njp.32101066164813,46746,fantasy_oclc,"Blackwood, Algernon",,London;Macmillan;1919.,1919,1919,,,,Pan's garden;,{'fantasy_oclc'}
uc2.ark+=13960=t9h41vd2c_1,uc2.ark+=13960=t9h41vd2c,38751,supernat,"Blackwood, Algernon",,London;Eveleigh Nash;1915.,1915,1915,,,,The empty house,{'supernat'}
uc2.ark+=13960=t9h41vd2c_0,uc2.ark+=13960=t9h41vd2c,38970,supernat,"Blackwood, Algernon",,London;Eveleigh Nash;1915.,1915,1915,,,,The empty house,{'supernat'}
uva.x030751450_2,uva.x030751450,54414,fantasy_oclc,"Blackwood, Algernon",,"London;Macmillan and co.,ltd.;1920",1913,1913,,,,A prisoner in fairyland (the book that 'Uncle Paul' wrote),{'fantasy_oclc'}
uva.x030751450_1,uva.x030751450,55102,fantasy_oclc,"Blackwood, Algernon",,"London;Macmillan and co.,ltd.;1920",1913,1913,,,,A prisoner in fairyland (the book that 'Uncle Paul' wrote),{'fantasy_oclc'}
uva.x030751450_0,uva.x030751450,54364,fantasy_oclc,"Blackwood, Algernon",,"London;Macmillan and co.,ltd.;1920",1913,1913,,,,A prisoner in fairyland (the book that 'Uncle Paul' wrote),{'fantasy_oclc'}
uva.x004507096_1,uva.x004507096,47474,fantasy_oclc,"Blackwood, Algernon",,New York;H. Holt and company;1910,1909,1909,,,,The education of Uncle Paul,{'fantasy_oclc'}
uva.x004507096_0,uva.x004507096,47675,fantasy_oclc,"Blackwood, Algernon",,New York;H. Holt and company;1910,1909,1909,,,,The education of Uncle Paul,{'fantasy_oclc'}
mdp.39015005690451_1,mdp.39015005690451,54210,supernat,"Blackwood, Algernon",1869-1951.,"Secaucus, N. J.|Castle Books, Inc., distributed to the trade by Book Sales, Inc.|1974",1974,1921,,,UnknownGenre,Tales of the mysterious and macabre.,{'supernat'}
mdp.39015005690451_2,mdp.39015005690451,55034,supernat,"Blackwood, Algernon",1869-1951.,"Secaucus, N. J.|Castle Books, Inc., distributed to the trade by Book Sales, Inc.|1974",1974,1921,,,UnknownGenre,Tales of the mysterious and macabre.,{'supernat'}
uc2.ark+=13960=t8cf9mv4w_0,uc2.ark+=13960=t8cf9mv4w,59013,fantasy_loc,"Blackwood, Algernon",,New York;The Macmillan company;1915.,1915,1915,,"Fantasy fiction, English",,The extra day,{'fantasy_loc'}
uc2.ark+=13960=t8cf9mv4w_1,uc2.ark+=13960=t8cf9mv4w,62681,fantasy_loc,"Blackwood, Algernon",,New York;The Macmillan company;1915.,1915,1915,,"Fantasy fiction, English",,The extra day,{'fantasy_loc'}
njp.32101066164813_1,njp.32101066164813,51313,fantasy_oclc,"Blackwood, Algernon",,London;Macmillan;1919.,1919,1919,,,,Pan's garden;,{'fantasy_oclc'}
mdp.39015005690451_0,mdp.39015005690451,55287,supernat,"Blackwood, Algernon",1869-1951.,"Secaucus, N. J.|Castle Books, Inc., distributed to the trade by Book Sales, Inc.|1974",1974,1921,,,UnknownGenre,Tales of the mysterious and macabre.,{'supernat'}
mdp.39076002449382_0,mdp.39076002449382,39945,juv|fantasy_loc,"Bowen, William",,"New York;The Macmillan Co.;1922, c1921.",1921,1921,,Boys;Fantasy fiction;Juvenile fiction;Pirates,,The old tobacco shop,"{'fantasy_loc', 'juv'}"
mdp.39076002449382_1,mdp.39076002449382,43357,juv|fantasy_loc,"Bowen, William",,"New York;The Macmillan Co.;1922, c1921.",1921,1921,,Boys;Fantasy fiction;Juvenile fiction;Pirates,,The old tobacco shop,"{'fantasy_loc', 'juv'}"
uiuo.ark+=13960=t5v70457m_0,uiuo.ark+=13960=t5v70457m,28016,fantasy_oclc,"Bronte, Charlotte",,"London;Smith, Elder & co.;1857.",1857,1857,v. 2,,,The professor,{'fantasy_oclc'}
uiuo.ark+=13960=t5v70457m_1,uiuo.ark+=13960=t5v70457m,33411,fantasy_oclc,"Bronte, Charlotte",,"London;Smith, Elder & co.;1857.",1857,1857,v. 2,,,The professor,{'fantasy_oclc'}
uiuo.ark+=13960=t00z7vf65,uiuo.ark+=13960=t00z7vf65,57527,fantasy_oclc,"Bronte, Charlotte",,"London;Smith, Elder & co.;1857.",1857,1857,v. 1,,,The professor,{'fantasy_oclc'}
mdp.39076002619562_1,mdp.39076002619562,30944,juv|fantasy_loc,"Brown, Abbie Farwell",,Boston;New York;Houghton Mifflin Co.;1915.,1915,1915,,Juvenile literature;Fantasy;Fairy tales,,Kisington town,"{'fantasy_loc', 'juv'}"
mdp.39076002619562_0,mdp.39076002619562,26273,juv|fantasy_loc,"Brown, Abbie Farwell",,Boston;New York;Houghton Mifflin Co.;1915.,1915,1915,,Juvenile literature;Fantasy;Fairy tales,,Kisington town,"{'fantasy_loc', 'juv'}"
nyp.33433074847538,nyp.33433074847538,58601,fantasy_oclc,"Burnet, Dana",,New York and London;Harper;c1916.,1916,1916,,,,The shining adventure,{'fantasy_oclc'}
nyp.33433074847991,nyp.33433074847991,8940,fantasy_oclc,"Burnett, Frances Hodgson",,"New York;Moffat, Yard and company;1909.",1909,1909,,,,The land of the blue flower,{'fantasy_oclc'}
uc2.ark+=13960=t2g73850s,uc2.ark+=13960=t2g73850s,25136,supernat,"Burnett, Frances Hodgson",,New York;London;Harper & brothers;1917,1917,1917,,,,The white people,{'supernat'}
uc2.ark+=13960=t10p0wz08_0,uc2.ark+=13960=t10p0wz08,63003,sf_oclc|fantasy_oclc,"Burroughs, Edgar Rice",,New York;Grosset & Dunlap;1920,1920,1920,,,,Tarzan the untamed,"{'fantasy_oclc', 'sf_oclc'}"
uc2.ark+=13960=t10p0wz08_1,uc2.ark+=13960=t10p0wz08,62841,sf_oclc|fantasy_oclc,"Burroughs, Edgar Rice",,New York;Grosset & Dunlap;1920,1920,1920,,,,Tarzan the untamed,"{'fantasy_oclc', 'sf_oclc'}"
uc1.b3187085,uc1.b3187085,57443,sf_oclc|fantasy_oclc,"Burroughs, Edgar Rice",,New York;Ace Books;1914.,1914,1914,,,,At the earth's core,"{'fantasy_oclc', 'sf_oclc'}"
nyp.33433074935127_1,nyp.33433074935127,34690,fantasy_loc,"Capes, Bernard Edward Joseph",,New York;Doubleday & McClure;1899.,1899,1899,,"Fantasy fiction, English",,At a winter's fire,{'fantasy_loc'}
nyp.33433074935127_0,nyp.33433074935127,33452,fantasy_loc,"Capes, Bernard Edward Joseph",,New York;Doubleday & McClure;1899.,1899,1899,,"Fantasy fiction, English",,At a winter's fire,{'fantasy_loc'}
pst.000059263739,pst.000059263739,43178,juv|fantasy_loc,"Carroll, Lewis",1832-1898.,"London|Creation|2000, 1999.",2000,1871,,"Fantasy fiction, English|Alice (Fictitious character : Carroll)|Juvenile fiction",Fiction,Alice through the looking glass,"{'fantasy_loc', 'juv'}"
mdp.39015057979646_1,mdp.39015057979646,43843,fantasy_oclc,"Carroll, Lewis",,London;New York;Macmillan and Co.;1889.,1889,1889,,,,Sylvie and Bruno,{'fantasy_oclc'}
mdp.39015057979646_0,mdp.39015057979646,41023,fantasy_oclc,"Carroll, Lewis",,London;New York;Macmillan and Co.;1889.,1889,1889,,,,Sylvie and Bruno,{'fantasy_oclc'}
njp.32101075985729,njp.32101075985729,39078,fantasy_oclc|juv,"Carroll, Lewis",,New York;Macmillan & co.;1875.,1875,1871,,,,Through the looking-glass,"{'juv', 'fantasy_oclc'}"
uva.x004152854,uva.x004152854,36339,fantasy_oclc|juv,"Carroll, Lewis",,Philadelphia;H. Altemus;c1896.,1896,1865,,,,Alice's adventures in Wonderland,"{'juv', 'fantasy_oclc'}"
mdp.39015074391536,mdp.39015074391536,32496,juv|fantasy_loc,"Carryl, Charles E",,Boston;New York;Houghton Mifflin;1913.,1913,1913,,Fantasy,,Davy and the goblin,"{'fantasy_loc', 'juv'}"
inu.30000111816496_1,inu.30000111816496,68802,fantasy_oclc,"Chambers, Robert W",1865-1933.,New York|Dover Publications|1970,1970,1895,,"Horror tales, American",Fiction,"The king in yellow, | and other horror stories. | $c: Selected with an introd. by E. F. Bleiler.",{'fantasy_oclc'}
inu.30000111816496_0,inu.30000111816496,69048,fantasy_oclc,"Chambers, Robert W",1865-1933.,New York|Dover Publications|1970,1970,1895,,"Horror tales, American",Fiction,"The king in yellow, | and other horror stories. | $c: Selected with an introd. by E. F. Bleiler.",{'fantasy_oclc'}
uc2.ark+=13960=t2599zm8x,uc2.ark+=13960=t2599zm8x,29898,fantasy_oclc|juv,"Cherubini, E",,Boston;New York [etc.;Ginn and Company;c1911,1911,1911,,,,Pinocchio in Africa,"{'juv', 'fantasy_oclc'}"
pst.000029121120_0,pst.000029121120,33956,fantasy_oclc,"Chesterton, G. K",1874-1936.,"New York|Dodd, Mead and company|1935].",1935,1908,,,NotFiction,The man who was Thursday : | a nightmare,{'fantasy_oclc'}
pst.000029121120_1,pst.000029121120,34127,fantasy_oclc,"Chesterton, G. K",1874-1936.,"New York|Dodd, Mead and company|1935].",1935,1908,,,NotFiction,The man who was Thursday : | a nightmare,{'fantasy_oclc'}
nyp.33433082303581,nyp.33433082303581,25863,fantasy_oclc,"Clapp, Eva Katherine",,Chicago;Lansing;R. Smith Printing Co.;1901,1901,1901,,,,"Zauberlinda, the wise witch;",{'fantasy_oclc'}
uc1.$b259681_2,uc1.$b259681,53738,fantasy_loc,"Collins, Vere H. (Vere Henry)",b. 1872.,London|Oxford University Press|1924.,1924,1924,,"Fantasy fiction, American|Fantasy fiction, English",NotFiction,Ghosts and marvels : | a selection of uncanny tales from Daniel Defoe to Algernon Blackwood,{'fantasy_loc'}
uc1.$b259681_1,uc1.$b259681,56410,fantasy_loc,"Collins, Vere H. (Vere Henry)",b. 1872.,London|Oxford University Press|1924.,1924,1924,,"Fantasy fiction, American|Fantasy fiction, English",NotFiction,Ghosts and marvels : | a selection of uncanny tales from Daniel Defoe to Algernon Blackwood,{'fantasy_loc'}
uc1.$b259681_0,uc1.$b259681,54998,fantasy_loc,"Collins, Vere H. (Vere Henry)",b. 1872.,London|Oxford University Press|1924.,1924,1924,,"Fantasy fiction, American|Fantasy fiction, English",NotFiction,Ghosts and marvels : | a selection of uncanny tales from Daniel Defoe to Algernon Blackwood,{'fantasy_loc'}
mdp.39015066624779,mdp.39015066624779,44401,fantasy_oclc|juv,"Collodi, Carlo",,Boston;Ginn;c1904,1904,1883,,,,"Pinocchio, the adventures of a marionette","{'juv', 'fantasy_oclc'}"
uc1.b3868727,uc1.b3868727,33787,fantasy_oclc,"Colum, Padraic",,New York;The Macmillan Company;1920.,1920,1920,,,,The boy apprenticed to an enchanter,{'fantasy_oclc'}
uc1.$b807329_0,uc1.$b807329,56487,fantasy_oclc,"Cooper, James Fenimore",,"Philadelphia;Carey, Lea, & Blanchard;1835.",1835,1835,,Utopias;Fiction,,The Monikins,{'fantasy_oclc'}
uc1.$b807329_1,uc1.$b807329,55921,fantasy_oclc,"Cooper, James Fenimore",,"Philadelphia;Carey, Lea, & Blanchard;1835.",1835,1835,,Utopias;Fiction,,The Monikins,{'fantasy_oclc'}
